POSIÇÃO	CONDIÇÃO
E11-2	CHEIO / VAZIO
E11-3	CHEIO / VAZIO
E11-4	VAZIO
E11-5	VAZIO
A12-1	CHEIO / VAZIO
A12-2	CHEIO / VAZIO
B12-1	CHEIO / VAZIO
B12-2	CHEIO / VAZIO
B12-3	CHEIO / VAZIO
C12-1	CHEIO / VAZIO
C12-2	CHEIO / VAZIO
C12-3	CHEIO / VAZIO
C12-4	VAZIO
D12-1	CHEIO / VAZIO
D12-2	CHEIO / VAZIO
D12-3	CHEIO / VAZIO
D12-4	VAZIO
D12-5	VAZIO
E12-1	CHEIO / VAZIO
E12-2	CHEIO / VAZIO
E12-3	CHEIO / VAZIO
E12-4	VAZIO
E12-5	VAZIO
A13-1	CHEIO / VAZIO
A13-2	CHEIO / VAZIO
B13-1	CHEIO / VAZIO
B13-2	CHEIO / VAZIO
B13-3	CHEIO / VAZIO
C13-1	CHEIO / VAZIO
C13-2	CHEIO / VAZIO
C13-3	CHEIO / VAZIO
C13-4	VAZIO
D13-1	CHEIO / VAZIO
D13-2	CHEIO / VAZIO
D13-3	CHEIO / VAZIO
D13-4	VAZIO
D13-5	VAZIO
E13-1	CHEIO / VAZIO
E13-2	CHEIO / VAZIO
E13-3	CHEIO / VAZIO
E13-4	VAZIO
E13-5	VAZIO
A14-1	CHEIO / VAZIO
A14-2	CHEIO / VAZIO
B14-1	CHEIO / VAZIO
B14-2	CHEIO / VAZIO
B14-3	CHEIO / VAZIO
C14-1	CHEIO / VAZIO
C14-2	CHEIO / VAZIO
C14-3	CHEIO / VAZIO
C14-4	VAZIO
D14-1	CHEIO / VAZIO
D14-2	CHEIO / VAZIO
D14-3	CHEIO / VAZIO
D14-4	VAZIO
D14-5	VAZIO
E14-1	CHEIO / VAZIO
E14-2	CHEIO / VAZIO
E14-3	CHEIO / VAZIO
E14-4	VAZIO
E14-5	VAZIO
A15-1	CHEIO / VAZIO
A15-2	CHEIO / VAZIO
B15-1	CHEIO / VAZIO
B15-2	CHEIO / VAZIO
B15-3	CHEIO / VAZIO
C15-1	CHEIO / VAZIO
C15-2	CHEIO / VAZIO
C15-3	CHEIO / VAZIO
C15-4	VAZIO
D15-1	CHEIO / VAZIO
D15-2	CHEIO / VAZIO
D15-3	CHEIO / VAZIO
D15-4	VAZIO
D15-5	VAZIO
E15-1	CHEIO / VAZIO
E15-2	CHEIO / VAZIO
E15-3	CHEIO / VAZIO
E15-4	VAZIO
E15-5	VAZIO
A16-1	CHEIO / VAZIO
A16-2	CHEIO / VAZIO
B16-1	CHEIO / VAZIO
B16-2	CHEIO / VAZIO
B16-3	CHEIO / VAZIO
C16-1	CHEIO / VAZIO
C16-2	CHEIO / VAZIO
C16-3	CHEIO / VAZIO
C16-4	VAZIO
D16-1	CHEIO / VAZIO
D16-2	CHEIO / VAZIO
D16-3	CHEIO / VAZIO
D16-4	VAZIO
D16-5	VAZIO
E16-1	CHEIO / VAZIO
E16-2	CHEIO / VAZIO
E16-3	CHEIO / VAZIO
E16-4	VAZIO
E16-5	VAZIO
A17-1	CHEIO / VAZIO
A17-2	CHEIO / VAZIO
B17-1	CHEIO / VAZIO
B17-2	CHEIO / VAZIO
B17-3	CHEIO / VAZIO
C17-1	CHEIO / VAZIO
C17-2	CHEIO / VAZIO
C17-3	CHEIO / VAZIO
C17-4	VAZIO
D17-1	CHEIO / VAZIO
D17-2	CHEIO / VAZIO
D17-3	CHEIO / VAZIO
D17-4	VAZIO
D17-5	VAZIO
E17-1	CHEIO / VAZIO
E17-2	CHEIO / VAZIO
E17-3	CHEIO / VAZIO
E17-4	VAZIO
E17-5	VAZIO
A18-1	CHEIO / VAZIO
A18-2	CHEIO / VAZIO
B18-1	CHEIO / VAZIO
B18-2	CHEIO / VAZIO
B18-3	CHEIO / VAZIO
C18-1	CHEIO / VAZIO
C18-2	CHEIO / VAZIO
C18-3	CHEIO / VAZIO
C18-4	VAZIO
D18-1	CHEIO / VAZIO
D18-2	CHEIO / VAZIO
D18-3	CHEIO / VAZIO
D18-4	VAZIO
D18-5	VAZIO
E18-1	CHEIO / VAZIO
E18-2	CHEIO / VAZIO
E18-3	CHEIO / VAZIO
E18-4	VAZIO
E18-5	VAZIO
A19-1	CHEIO / VAZIO
A19-2	CHEIO / VAZIO
B19-1	CHEIO / VAZIO
B19-2	CHEIO / VAZIO
B19-3	CHEIO / VAZIO
C19-1	CHEIO / VAZIO
C19-2	CHEIO / VAZIO
C19-3	CHEIO / VAZIO
C19-4	VAZIO
D19-1	CHEIO / VAZIO
D19-2	CHEIO / VAZIO
D19-3	CHEIO / VAZIO
D19-4	VAZIO
D19-5	VAZIO
E19-1	CHEIO / VAZIO
E19-2	CHEIO / VAZIO
E19-3	CHEIO / VAZIO
E19-4	VAZIO
E19-5	VAZIO
A20-1	CHEIO / VAZIO
A20-2	CHEIO / VAZIO
B20-1	CHEIO / VAZIO
B20-2	CHEIO / VAZIO
B20-3	CHEIO / VAZIO
C20-1	CHEIO / VAZIO
C20-2	CHEIO / VAZIO
C20-3	CHEIO / VAZIO
C20-4	VAZIO
D20-1	CHEIO / VAZIO
D20-2	CHEIO / VAZIO
D20-3	CHEIO / VAZIO
D20-4	VAZIO
D20-5	VAZIO
E20-1	CHEIO / VAZIO
E20-2	CHEIO / VAZIO
E20-3	CHEIO / VAZIO
E20-4	VAZIO
E20-5	VAZIO
