POSIÇÃO	CONDIÇÃO
C134	VAZIO
D131	CHEIO / VAZIO
D132	CHEIO / VAZIO
D133	CHEIO / VAZIO
D134	VAZIO
D135	VAZIO
E131	CHEIO / VAZIO
E132	CHEIO / VAZIO
E133	CHEIO / VAZIO
E134	VAZIO
E135	VAZIO
A141	CHEIO / VAZIO
A142	CHEIO / VAZIO
B141	CHEIO / VAZIO
B142	CHEIO / VAZIO
B143	CHEIO / VAZIO
C141	CHEIO / VAZIO
C142	CHEIO / VAZIO
C143	CHEIO / VAZIO
C144	VAZIO
D141	CHEIO / VAZIO
D142	CHEIO / VAZIO
D143	CHEIO / VAZIO
D144	VAZIO
D145	VAZIO
E141	CHEIO / VAZIO
E142	CHEIO / VAZIO
E143	CHEIO / VAZIO
E144	VAZIO
E145	VAZIO
A151	CHEIO / VAZIO
A152	CHEIO / VAZIO
B151	CHEIO / VAZIO
B152	CHEIO / VAZIO
B153	CHEIO / VAZIO
C151	CHEIO / VAZIO
C152	CHEIO / VAZIO
C153	CHEIO / VAZIO
C154	VAZIO
D151	CHEIO / VAZIO
D152	CHEIO / VAZIO
D153	CHEIO / VAZIO
D154	VAZIO
D155	VAZIO
E151	CHEIO / VAZIO
E152	CHEIO / VAZIO
E153	CHEIO / VAZIO
E154	VAZIO
E155	VAZIO
A161	CHEIO / VAZIO
A162	CHEIO / VAZIO
B161	CHEIO / VAZIO
B162	CHEIO / VAZIO
B163	CHEIO / VAZIO
C161	CHEIO / VAZIO
C162	CHEIO / VAZIO
C163	CHEIO / VAZIO
C164	VAZIO
D161	CHEIO / VAZIO
D162	CHEIO / VAZIO
D163	CHEIO / VAZIO
D164	VAZIO
D165	VAZIO
E161	CHEIO / VAZIO
E162	CHEIO / VAZIO
E163	CHEIO / VAZIO
E164	VAZIO
E165	VAZIO
A171	CHEIO / VAZIO
A172	CHEIO / VAZIO
B171	CHEIO / VAZIO
B172	CHEIO / VAZIO
B173	CHEIO / VAZIO
C171	CHEIO / VAZIO
C172	CHEIO / VAZIO
C173	CHEIO / VAZIO
C174	VAZIO
D171	CHEIO / VAZIO
D172	CHEIO / VAZIO
D173	CHEIO / VAZIO
D174	VAZIO
D175	VAZIO
E171	CHEIO / VAZIO
E172	CHEIO / VAZIO
E173	CHEIO / VAZIO
E174	VAZIO
E175	VAZIO
A181	CHEIO / VAZIO
A182	CHEIO / VAZIO
B181	CHEIO / VAZIO
B182	CHEIO / VAZIO
B183	CHEIO / VAZIO
C181	CHEIO / VAZIO
C182	CHEIO / VAZIO
C183	CHEIO / VAZIO
C184	VAZIO
D181	CHEIO / VAZIO
D182	CHEIO / VAZIO
D183	CHEIO / VAZIO
D184	VAZIO
D185	VAZIO
E181	CHEIO / VAZIO
E182	CHEIO / VAZIO
E183	CHEIO / VAZIO
E184	VAZIO
E185	VAZIO
A191	CHEIO / VAZIO
A192	CHEIO / VAZIO
B191	CHEIO / VAZIO
B192	CHEIO / VAZIO
B193	CHEIO / VAZIO
C191	CHEIO / VAZIO
C192	CHEIO / VAZIO
C193	CHEIO / VAZIO
C194	VAZIO
D191	CHEIO / VAZIO
D192	CHEIO / VAZIO
D193	CHEIO / VAZIO
D194	VAZIO
D195	VAZIO
E191	CHEIO / VAZIO
E192	CHEIO / VAZIO
E193	CHEIO / VAZIO
E194	VAZIO
E195	VAZIO
A201	CHEIO / VAZIO
A202	CHEIO / VAZIO
B201	CHEIO / VAZIO
B202	CHEIO / VAZIO
B203	CHEIO / VAZIO
C201	CHEIO / VAZIO
C202	CHEIO / VAZIO
C203	CHEIO / VAZIO
C204	VAZIO
D201	CHEIO / VAZIO
D202	CHEIO / VAZIO
D203	CHEIO / VAZIO
D204	VAZIO
D205	VAZIO
E201	CHEIO / VAZIO
E202	CHEIO / VAZIO
E203	CHEIO / VAZIO
E204	VAZIO
E205	VAZIO
